id,title,author,genre,publisher,year
21771,Devil May Cry,Bob Treutel DDS,Fiction in verse,Cengage Learning,2024
21707,The Departed,Antonio Lindgren,Speech,Vintage Books,2005
21684,Mario Kart 7,"Benedict Steuber, Randal McCullough, Jon Hettinger DVM",Speech,Ellora's Cave,2000
21469,Wii Play,"Travis Von, Leighann O'Connell",Fable,Haynes Manuals,1943
21655,Come Away with Me,"Roman Koss, Sook Halvorson",Crime/Detective,Pan Books,2013
21902,Backstreet's Back,Kizzie Purdy,Legend,Book League of America,1997
21383,The Lord of the Rings: The Fellowship of the Ring,"Fredda Brekke, Vernice Emard, Dylan Upton",Metafiction,Atlantic Books,2022
21699,Star Wars: Episode IX – The Rise of Skywalker,"Roman Koss, Sook Halvorson",Comic/Graphic Novel,Ten Speed Press,2014
21298,Princess Mononoke,Rosann Wolf VM,Comic/Graphic Novel,Hachette Book Group USA,1996
21773,Shutter Island,Kathey Gorczany,Fable,Bloodaxe Books,1837
21914,Mass Effect 2,Prof. Augustus Konopelski,Legend,E. P. Dutton,1945
21656,To Say Nothing of the Dog,Veronique Carter,Reference book,Hamish Hamilton,1996
21767,12 Angry Men,"Coy Streich, Lela Emard, Keeley Hand",Realistic fiction,Unknown,2021
21326,Halo: Combat Evolved,Joana Botsford,Speech,Nonesuch Press,2022
21859,Legend: The Best of Bob Marley & The Wailers,Alec Ziemann,Essay,Unknown,2023
21407,The Torment of Others,Reid Rice,Mythopoeia,Airiti Press,1914
21721,Beyond the Mexique Bay,"Reginia Weissnat, Miss Wade Lebsack",Classic,Gefen Publishing House,1988
21538,Command & Conquer 3: Tiberium Wars,Pedro Bradtke,Mythology,Cisco Press,1979
21616,Mario Kart: Double Dash,Mr. Dominque Becker,Realistic fiction,Virago Press,2020
21904,The Sting,Alina Collier Esq.,Classic,Caister Academic Press,1992
21653,Blue Remembered Earth,"Joseph Raynor, Ja Ankunding II",Legend,Eel Pie Publishing,1986
21739,Quake,"Renee Rogahn, Merrill Marks",Realistic fiction,Harcourt Trade Publishers,1981
21677,Vanity Fair,Elane Miller,Reference book,Victor Gollancz Ltd,1993
21530,Led Zeppelin IV,"Rocky Erdman, Curtis Rohan",Realistic fiction,Tartarus Press,1990
21361,Great Work of Time,Laronda Kuhn,Crime/Detective,J. M. Dent,1992
22002,LittleBigPlanet,Johnny Russel,Humor,Library of America,2007
21568,Overwatch,Luigi Parker,Crime/Detective,Imperial War Museum,1982
21384,The Legend of Zelda,"Sook Halvorson, Roman Koss",Speech,Victor Gollancz Ltd,1995
21714,Wolfenstein 3D,Elvina Nader,Biography/Autobiography,University of Michigan Press,1995
21580,Mr Standfast,Sen. Leta Berge,Comic/Graphic Novel,Chatto and Windus,2013
22014,Mario Kart 64,Jerald Raynor,Textbook,Indiana University Press,1980
21692,Just Cause 2,Dr. Deb Kemmer,Realistic fiction,Pen and Sword Books,1916
21519,Greatest Hits,Reuben Mayert,Classic,Hackett Publishing Company,2015
21610,Ring of Bright Water,"Timmy Corwin, Franklyn Stokes VM",Legend,Horizon Scientific Press,1996
21471,Call of Duty,Myrtis Corwin,Narrative nonfiction,HarperCollins,2026
22039,21,"Lavon Langosh, Msgr. Juan Beer, Garth Heidenreich",Fairy tale,Elsevier,2021
21785,Oh! To be in England,Amb. Nannie Labadie,Legend,Indiana University Press,1985
21564,Pokémon Diamond,Sonny Bogan,Classic,Marion Boyars Publishers,1979
21877,Half-Life: Opposing Force,"Anton Toy, Tabetha Johnston",Realistic fiction,Ziff Davis Media,1987
21502,The Shining,Korey Rice V,Reference book,Libertas Academica,1996
21347,Blade Runner,Zackary Carter,Suspense/Thriller,Eel Pie Publishing,1987
21536,Counter-Strike,Pres. Donya West,Horror,D. Appleton & Company,2004
21465,Die Hard,Rocky Erdman,Mystery,Allen Ltd,2007
21343,Halo 5: Guardians,"Coy Streich, Keeley Hand, Lela Emard",Horror,HarperCollins,1997
21861,All About Eve,Andreas Mohr,Textbook,Felony & Mayhem Press,2001
21659,Fortnite,"Norberto Kohler, Moshe Wilderman",Metafiction,Newnes,1974
21824,A Glass of Blessings,Garth Marvin,Horror,Holt McDougal,2022
21378,The Wall,Elliot Monahan,Speech,Anvil Press Poetry,2024
21385,Twelve Monkeys,Earnest Glover,Mythology,Mascot Books,1983
22042,25,Benjamin Mills,Fantasy,Marshall Cavendish,1964
21435,Super Mario World,Jerry Cormier,Legend,Bantam Books,1848
21545,The Dark Side of the Moon,"Beverly McDermott, Pedro Bradtke",Tall tale,Velazquez Press,1965
21665,Back in Black,"Sen. Amber Roberts, Prof. Augustus Konopelski",Realistic fiction,Etruscan Press,1992
21346,Where Angels Fear to Tread,"Yesenia Raynor DDS, Hue Ondricka I, Lewis Boehm",Fantasy,DAW Books,2024
21858,It's a Battlefield,"Julius Barrows, Tamika Hayes",Legend,Flame Tree Publishing,1982
21439,The Cricket on the Hearth,Josue Grady,Fiction in verse,ECW Press,2025
21745,Toy Story 3,"Msgr. Juan Beer, Garth Heidenreich, Lavon Langosh",Narrative nonfiction,Harper & Row,1976
21577,The Wolf of Wall Street,Ozzie Jast,Fable,Ignatius Press,1994
22057,Consider Phlebas,Matthew Boehm,Folklore,Berkley Books,-1
21759,Call of Duty: Black Ops II,Benjamin Mills,Tall tale,New Holland Publishers,1993
21808,The Wings of the Dove,"Antione O'Reilly, Josette Nikolaus DC",Speech,University of Chicago Press,1997
21351,Team Fortress 2,Jermaine Wehner,Legend,Earthscan,1985
21364,Gran Torino,Jeffry Nolan Ret.,Mythology,Bantam Spectra,0
21501,A Summer Bird-Cage,Leighann O'Connell,Humor,Signet Books,1984
21319,X&Y,Caroyln Wilderman,Historical fiction,Darakwon Press,2012
21688,Halo 3: ODST,"Dominque Fisher, Leigh Bednar",Fairy tale,ECW Press,2012
21924,The Wonderful 101,Jerrold Bogan LLD,Horror,Shire Books,2015
21543,Wii Music,Cleo Predovic,Historical fiction,Kessinger Publishing,1990
21317,The House of Mirth,"Elmer Parker, Mireya Schroeder",Fable,St. Martin's Press,1990
21643,Fight Club,Latrina Kuphal,Narrative nonfiction,Athabasca University Press,2011
22050,WarioWare: Touched!,Ms. Kami Prosacco,Mythology,Chatto and Windus,1976
21597,Pokémon FireRed,Timmy Corwin,Comic/Graphic Novel,Victor Gollancz Ltd,2009
21693,Wolfenstein 2: The New Colossus,Alec Ziemann,Mythopoeia,Viking Press,2022
21875,The Glory and the Dream,Elvina Nader,Horror,Sams Publishing,2024
21728,The Heart Is a Lonely Hunter,"Rep. Bridgett Rosenbaum, Laureen Herzog, Charlsie Cummerata",Horror,Booktrope,2019
21328,The Millstone,Reuben Mayert,Reference book,Parachute Publishing,2023
21644,Left 4 Dead 2,Cruz Abshire MD,Mystery,Pantheon Books at Random House,2000
21796,A Time of Gifts,Rico Zemlak,Comic/Graphic Novel,Libertas Academica,1999
21662,Pokémon Black,Sen. Jackson Gutmann,Short story,HarperTrophy,2023
21998,Tender Is the Night,Miss Wade Lebsack,Comic/Graphic Novel,Pen and Sword Books,1980
21481,Oldeuboi,Ted Rutherford,Classic,Eel Pie Publishing,0
21623,Highway Blossoms,"Marlon Casper, Boyce Hoeger",Horror,Banner of Truth Trust,2024
21795,The Skull Beneath the Skin,Kristeen Kessler CPA,Science fiction,University of Alaska Press,2013
21633,The Godfather: Part II,Miss Wade Lebsack,Suspense/Thriller,Ian Allan Publishing,2008
21802,Pokémon Shield,Lonnie Hilpert,Mythology,Chick Publications,2012
21744,Bat Out of Hell,"Lawrence Hauck, Sean Kassulke",Realistic fiction,Ellora's Cave,2011
21950,L.A. Confidential,Shirlene Toy,Comic/Graphic Novel,Oberon Books,2005
21369,Django Unchained,"Edmundo Oberbrunner, Bernard Bayer, Amb. Elia Lebsack",Science fiction,Earthscan,1993
21306,That Hideous Strength,Rossana Cruickshank,Textbook,Chambers Harrap,2008
21834,Oops!... I Did It Again,"Mercedez Welch, Alphonso Gulgowski",Mystery,Burns & Oates,2014
21700,Star Wars: Episode VII - The Force Awakens,Gonzalo Macejkovic,Crime/Detective,Felony & Mayhem Press,1985
21338,Kingdom Hearts,Reginia Weissnat,Textbook,Carlton Publishing Group,1997
21522,Stranger in a Strange Land,Kasey Effertz,Folklore,Carnegie Mellon University Press,2026
21357,3 Idiots,Sen. Amber Roberts,Legend,George Newnes,-1
21927,The Intouchables,Curtis Rohan,Short story,Nonesuch Press,1992
21509,A Scanner Darkly,"Brandi Cole, Veronique Carter",Science fiction,Pantheon Books at Random House,1966
21913,Pokémon Gold,Ted Rutherford,Speech,Left Book Club,1978
21934,Star Wars: Episode IV – A New Hope,Caroyln Wilderman,Narrative nonfiction,Mascot Books,2000
21987,Grease: The Original Soundtrack from the Motion Picture,Bob Treutel DDS,Science fiction,Heyday Books,1993
21449,Their Greatest Hits (1971–1975),Zoila Christiansen,Historical fiction,Haynes Manuals,1991
21492,What's Become of Waring,Yuette Parker,Biography/Autobiography,Pen and Sword Books,1985
21334,Raiders of the Lost Ark,Hoyt Jacobson III,Metafiction,Newnes,2004
21882,Super Mario Bros. 2,Irmgard Bogan I,Comic/Graphic Novel,Eel Pie Publishing,1976
21486,Far Cry,Nick Ziemann,Legend,Zondervan,1986
21761,Pokémon: Let's Go Pikachu!,Selena Schroeder,Essay,G. P. Putnam's Sons,2005
21760,Super Smash Bros. Melee,"Edmundo Oberbrunner, Jerry Cormier, Bernard Bayer, Amb. Elia Lebsack",Fiction narrative,Carcanet Press,1990
21774,"The World, the Flesh and the Devil","Jeffery Leuschke PhD, Miss Bok Barrows, Era Hodkiewicz",Fantasy,Applewood Books,1982
21833,Kid Icarus,Pedro Bradtke,Fantasy,Schocken Books,2022
21948,Endless Night,Karisa Kozey,Mythology,University of Minnesota Press,1957
21300,Wolfenstein: The Old Blood,"Kirk Treutel, Klara Runolfsdottir Sr., Lonnie Hilpert",Realistic fiction,Emerald Group Publishing,1976
21297,The Treasure of the Sierra Madre,Brandi Cole,Short story,G-Unit Books,1856
21484,Mirror's Edge,"Antione O'Reilly, Josette Nikolaus DC",Humor,Pavilion Books,1983
21938,Half-Life 2: Episode Two,Richie Gislason,Essay,Ladybird Books,1875
21476,Super Smash Bros. Brawl,Nick Ziemann,Essay,BBC Books,2003
21613,The Pianist,Manuel Murray,Horror,Academic Press,1989
21995,Paper Moon,"Sean Kassulke, Rosann Wolf VM",Short story,Charles Scribner's Sons,1991
21951,Batman: Arkham City,Alina Collier Esq.,Fable,Black Dog Publishing,1994
21956,Portal 2,Kylee Smith,Fanfiction,Addison-Wesley,2005
21843,This Side of Paradise,Richie Gislason,Fairy tale,Koren Publishers Jerusalem,1989
21779,Sonic Unleashed,Ms. Kami Prosacco,Humor,Martinus Nijhoff Publishers,2009
21866,No Highway,Susannah Tremblay DC,Crime/Detective,Tammi,1845
21694,The Best Years of Our Lives,"Raymundo Aufderhar, Lamar Kautzer, Isabelle Boehm",Horror,David & Charles,2009
21840,Gandhi,Carin Christiansen,Narrative nonfiction,NavPress,1976
21980,Come On Over,Robby Powlowski,Fairy tale,Koren Publishers Jerusalem,1994
21458,The Mirror Crack'd from Side to Side,Tabetha Johnston,Realistic fiction,Mapin Publishing,1995
21537,Mario Kart Wii,Sen. Leta Berge,Reference book,Darakwon Press,1843
21852,Butter In a Lordly Dish,Nick Ziemann,Fanfiction,University of Alaska Press,2006
21830,WarioWare: Touched!,Ms. Kami Prosacco,Mythology,Gefen Publishing House,1972
21805,Shall not Perish,Ted Rutherford,Fable,Unknown,1987
21806,Metropolis,Susannah Tremblay DC,Essay,Random House,2019
21968,The Last Enemy,Mohamed Dach,Horror,Pecan Grove Press,2019
21912,Moab Is My Washpot,Matthew Boehm,Mythopoeia,Focal Press,2023
21696,Cool Hand Luke,Msgr. Mohammad Koelpin,Comic/Graphic Novel,Edupedia Publications,2002
21775,Diablo II,"Dennis Heaney, Soledad Hickle, Alina Collier Esq.",Realistic fiction,Penguin Books,2009
21606,Waiting for the Barbarians,Gov. Wally Wintheiser,Biography/Autobiography,University of Michigan Press,1980
21559,Mario Kart DS,"Curtis Rohan, Rocky Erdman",Legend,George H. Doran Company,1882
21753,The Needle's Eye,"Sen. Amber Roberts, Prof. Augustus Konopelski",Classic,Mainstream Publishing,1979
21683,Bad,Lesli Bernier III,Textbook,BBC Books,1959
21534,Bastion,Barb Lynch,Comic/Graphic Novel,Bella Books,2002
21675,The Bourne Ultimatum,Jaleesa Breitenberg DVM,Mythology,Naiad Press,2016
21883,In a Glass Darkly,Rico Zemlak,Reference book,Black Sparrow Books,2009
21977,Things Fall Apart,Kirsten Schaefer,Horror,Happy House,1998
21890,Call of Duty: Modern Warfare 2,Boyce Hoeger,Essay,Belknap Press,1992
21967,Max Payne 3,Elenor Langosh,Fiction in verse,Airiti Press,1984
22038,Precious Bane,Karisa Kozey,Metafiction,University of Alaska Press,1988
21646,TRON,Caroyln Wilderman,Speech,University of Chicago Press,1840
22026,Jesting Pilate,"Mohamed Dach, Clyde Jacobson",Short story,New Holland Publishers,1970
22019,The Legend of Zelda: Twilight Princess,Beverly McDermott,Legend,Manning Publications,1970
21589,Recovery,Miss Ward Farrell,Classic,Atlas Press,2022
21997,Nectar in a Sieve,Jerrold Bogan LLD,Suspense/Thriller,Casemate Publishers,2024
21988,The Great Dictator,Rosalva Beer,Classic,Naiad Press,2014
21416,Faith,Elenor Langosh,Comic/Graphic Novel,Unknown,2023
21575,Command & Conquer: Generals,"Louanne Cruickshank, Lakenya Boyer IV",Essay,Del Rey Books,1975
21850,Mr. Smith Goes to Washington,Verna Skiles,Fantasy,Tachyon Publications,1989
21732,No Country for Old Men,"Blair Casper, Ms. Rodger Hoppe",Realistic fiction,Mandrake Press,2012
21658,Half-Life 2: Episode One,The Hon. Terence Klocko,Reference book,Brill Publishers,2019
21660,Jacob Have I Loved,Ozzie Jast,Tall tale,Charles Scribner's Sons,1986
21695,Alien,Msgr. Marjorie Koepp,Biography/Autobiography,Kessinger Publishing,1874
21906,Clouds of Witness,"Lonnie Hilpert, Klara Runolfsdottir Sr., Kirk Treutel",Fiction narrative,Firebrand Books,2012
21337,Left 4 Dead 2,Cruz Abshire MD,Mystery,Daedalus Publishing,1984
21709,The Painted Veil,Barb Lynch,Short story,T & T Clark,1832
21973,Wii Sports Resort,Quintin O'Kon,Realistic fiction,Reed Elsevier,2012
21390,Dishonored,Miss Jesus Pfannerstill,Short story,Cisco Press,1998
21542,God of War,Zackary Carter,Science fiction,Shambhala Publications,1996
21381,Frozen,Dr. Pat Kunze,Western,Butterworth-Heinemann,1977
21651,The Legend of Zelda: Ocarina of Time,"Adelia Lind, Floyd Cassin III",Fanfiction,Seagull Books,1985
21864,Starcraft II,"Miss Wade Lebsack, Reginia Weissnat",Mystery,SAGE Publications,1995
21621,Noli Me Tangere,Dominique Sipes,Crime/Detective,University of Alaska Press,1978
21915,Batman: Arkham City,Alina Collier Esq.,Fable,Carlton Books,1979
21776,Halo 5: Guardians,"Coy Streich, Keeley Hand, Lela Emard",Horror,Ladybird Books,1988
21624,Edna O'Brien,"Mireya Schroeder, Elmer Parker",Historical fiction,UCL Press,1998
21964,Hitman: Absolution,"Zackary Carter, Nick Ziemann",Fable,J. M. Dent,2000
21565,"Monsters, Inc.","Msgr. Juan Beer, Garth Heidenreich, Lavon Langosh",Crime/Detective,HarperCollins,1996
21442,Doom,Les Rogahn,Suspense/Thriller,Legend Books,2004
21372,Call of Duty: Black Ops III,Anton Moen,Mythopoeia,Candlewick Press,1977
21349,Hearthstone,"Dr. Emmaline Ritchie, Norberto Kohler, Moshe Wilderman",Historical fiction,Carnegie Mellon University Press,1842
21586,Sleeping Dogs,"Zoila Christiansen, Kylee Smith",Mythopoeia,Sams Publishing,0
21772,Wolfenstein 3D,Elvina Nader,Biography/Autobiography,Harcourt Assessment,1983
21720,Tracy Chapman,Miss Jesus Pfannerstill,Fable,Ian Allan Publishing,2017
21822,Command & Conquer 4: Tiberian Twilight,Jaleesa Breitenberg DVM,Folklore,City Lights Publishers,1998
21800,The Sign,Benjamin Mills,Comic/Graphic Novel,HMSO,1898
21512,Ego Dominus Tuus,Kirsten Schaefer,Mythopoeia,Focal Press,1987
21418,Apocalypse Now,"Pedro Bradtke, Beverly McDermott",Fantasy,Broadview Press,2012
21667,Super Mario Bros. 3,"Mohamed Dach, Clyde Jacobson",Legend,Basic Books,2024
21925,Kirby's Dream Land,Carolyn Yost,Fiction narrative,Kodansha,1993
21585,In Death Ground,Garth Marvin,Fantasy,HMSO,1992
22028,Max Payne 2: The Fall of Max Payne,Travis Von,Fable,Penguin Books,1996
21820,God of War,Zackary Carter,Science fiction,Del Rey Books,2003
21872,Pokémon White,"Kirk Treutel, Klara Runolfsdottir Sr.",Tall tale,New Directions Publishing,2023
21599,Antic Hay,Boyce Hoeger,Realistic fiction,Leaf Books,2007
22003,Garry's Mod,Kizzie Purdy,Fiction in verse,Cambridge University Press,2025
21679,Oldboy,Benjamin Mills,Mystery,Blackwell Publishing,2017
22020,An Acceptable Time,Sean Kassulke,Fiction narrative,Black Dog Publishing,2017
21628,Animal Crossing,Marlin Kuvalis,Fantasy,Penguin Books,1987
21815,Cover Her Face,"Yesenia Raynor DDS, Hue Ondricka I, Lewis Boehm",Fable,Zed Books,1989
22000,Mega Man,Albert Lehner Ret.,Comic/Graphic Novel,Marion Boyars Publishers,1981
21477,A Many-Splendoured Thing,Sook Halvorson,Fanfiction,HarperTrophy,1936
21891,Team Fortress Classic,Roman Koss,Humor,Zed Books,1995
21639,Pokémon Yellow,Timmy Corwin,Realistic fiction,Carnegie Mellon University Press,1894
21380,Mario Kart 8,Garth Marvin,Fable,HarperPrism,1991
21649,The Maltese Falcon,Anton Moen,Fairy tale,John Blake Publishing,1850
22041,The Legend of Zelda: Majora's Mask,"Adelia Lind, Floyd Cassin III",Western,Casemate Publishers,1985
21702,Indiana Jones and the Last Crusade,Mrs. Jessie Brekke,Science fiction,Blackwell Publishing,2024
21569,The Parliament of Man,Miss Wade Lebsack,Fiction in verse,Hay House,2021
21777,The Golden Apples of the Sun,Jeffry Nolan Ret.,Essay,Cloverdale Corporation,1994
21535,25,Benjamin Mills,Fantasy,Pathfinder Press,1994
21844,Batman Begins,"Louanne Cruickshank, Lakenya Boyer IV",Narrative nonfiction,Shire Books,2004
22043,Fame Is the Spur,Fr. Dick Spinka,Fantasy,Bantam Books,2015
21490,Taming a Sea Horse,"Kevin Mayer, Kimberely Kutch, Darius Mohr",Horror,Ian Allan Publishing,2004
21417,Super Mario Odyssey,Matthew Turner,Legend,Andrews McMeel Publishing,1986
21619,Myst,Sonny Bogan,Fanfiction,David & Charles,2014
21324,I Dreamed a Dream,Hortencia Wunsch,Fantasy,Kodansha,1993
21588,Double Indemnity,Marlin Kuvalis,Tall tale,Casemate Publishers,1903
21533,Half-Life: Blue Shift,Garth Marvin,Fiction in verse,Salt Publishing,1876
21897,Time To Murder And Create,Hortencia Wunsch,Mystery,Lethe Press,2009
21336,Gone Girl,Jimmie Harvey,Narrative nonfiction,Harvard University Press,1985
21742,Mad Max: Fury Road,Jimmie Harvey,Speech,Kessinger Publishing,2003
21851,Half-Life,"Moshe Wilderman, Dr. Emmaline Ritchie, Norberto Kohler",Narrative nonfiction,Open University Press,2023
21554,Super Mario Galaxy,Ozzie Jast,Science fiction,Mainstream Publishing,2013
21532,Command & Conquer: Red Alert,Tabetha Johnston,Realistic fiction,Left Book Club,2002
21792,Look to Windward,Bennett Raynor,Speech,Shire Books,1983
21848,Garry's Mod,Kizzie Purdy,Fiction in verse,Zed Books,2015
21838,The Daffodil Sky,"Hal Nitzsche, Damian Gulgowski",Crime/Detective,Open Court Publishing Company,1852
21360,A Clockwork Orange,"Laureen Herzog, Rep. Bridgett Rosenbaum, Richie Gislason, Charlsie Cummerata",Fiction narrative,Broadview Press,2022
21810,Beyond the Mexique Bay,"Reginia Weissnat, Miss Wade Lebsack",Classic,Golden Cockerel Press,1964
22023,Pokémon Silver,Cristin Deckow III,Fantasy,Palgrave Macmillan,2023
21497,Jaws,"Sen. Amber Roberts, Prof. Augustus Konopelski",Textbook,Broadview Press,2006
21601,Dog Day Afternoon,Laronda Kuhn,Essay,Hackett Publishing Company,1987
21870,The Bridge on the River Kwai,Cordell Ritchie,Realistic fiction,Flame Tree Publishing,2009
21741,Fire Emblem Awakening,"Rep. Bridgett Rosenbaum, Charlsie Cummerata, Laureen Herzog, Richie Gislason",Historical fiction,Karadi Tales,2008
21867,Garry's Mod,Kizzie Purdy,Fiction in verse,Reed Publishing,2022
21637,Pokémon Emerald,Travis Von,Humor,Open University Press,1977
22031,Let Us Now Praise Famous Men,Sook Halvorson,Speech,Bowes & Bowes,1980
21428,Groundhog Day,"Norberto Kohler, Moshe Wilderman",Mythopoeia,Elsevier,1996
21419,Ice Climbers,"Raymundo Aufderhar, Lamar Kautzer, Isabelle Boehm",Crime/Detective,Book League of America,1976
21766,The Little Foxes,Irmgard Bogan I,Crime/Detective,Gefen Publishing House,1992
21539,Finding Nemo,Angel Kuhic,Narrative nonfiction,Secker & Warburg,1990
21467,The Woman in Me,"Veronique Carter, Anton Toy",Historical fiction,Cisco Press,2018
21521,Wolfenstein: The New Order,Rosalva Beer,Western,Adis International,1832
21821,Now Sleeps the Crimson Petal,Bobbie Bernier,Speech,Marion Boyars Publishers,2010
21392,Taxi Driver,Zoila Christiansen,Fairy tale,Booktrope,2019
22046,Half-Life 2,Fr. Dick Spinka,Historical fiction,Unknown,1987
21614,Sleep the Brave,Donovan Bins,Western,Hay House,1995
